pestiKorName,regCpntQnty,pestiBrandName,compName,useName,indictSymbl,cropName,diseaseWeedName,pestiUse,dilutUnit,useSuittime,useNum
스피로디클로펜 수화제,Spirodiclofen-36,시월애,(주)태준아그로텍,살충제,23,사과,점박이응애,엽당 2~3마리 발생시 경엽처리,"2,000배",수확 21일전,3회 이내
스피로디클로펜 수화제,Spirodiclofen-36,시월애,(주)태준아그로텍,살충제,23,사과,점박이응애,엽당 2~3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
스피로디클로펜 수화제,Spirodiclofen-36,시월애,미래아그로,살충제,23,사과,점박이응애,엽당 2~3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
스피로메시펜 수화제,spiromesifen-20,오베론,바이엘크롭사이언스(주),살충제,23,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
스피로메시펜 액상수화제,spiromesifen-20,지존,(주)팜한농,살충제,23,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 7일 전까지,3회 이내
스피로테트라맷 액상수화제,Spirotetramat-22,모벤토,바이엘크롭사이언스(주),살충제,23,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 30일 전까지,2회 이내
아바멕틴 미탁제,Abamectin-1.8,안티충,아진케미칼(주),살충제,6,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"3,000배",수확 7일 전까지,3회 이내
아바멕틴 미탁제,Abamectin-1.8,안티충,아진케미칼(주),살충제,6,사과,점박이응애,한잎당2~3마리발생시 경엽처리,"3,000배",수확 7일 전까지,3회 이내
아바멕틴 미탁제,Abamectin-1.8,젠토킬,아그리젠토(주),살충제,6,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"3,000배",수확 7일 전까지,3회 이내
아바멕틴 미탁제,Abamectin-1.8,젠토킬,아그리젠토(주),살충제,6,사과,점박이응애,한잎당2~3마리 발생시 경엽처리,"3,000배",수확 7일 전까지,3회 이내
아바멕틴 액제,Abamectin-1.7,아스타렉,신젠타코리아(주),살충제,6,사과,점박이응애,발생초기 경엽처리,"3,000배",수확 7일 전까지,2회 이내
아바멕틴 액제,Abamectin-1.7,아스타렉,신젠타코리아(주),살충제,6,사과,점박이응애,발생초기 경엽처리,"3,000배",수확 7일 전까지,2회 이내
아바멕틴.비펜트린 액상수화제,Abamectin-1.5Bifenthrin-2,브리가드,(주)농협케미컬,살충제,6+3a,사과,점박이응애,발생초기 경엽처리,"2,000배",수확 21일 전까지,3회 이내
아바멕틴.사이플루메토펜 분산성액제,Abamectin-0.8Cyflumetofen-10,와이드샷,(주)동방아그로,살충제,6+25a,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"1,000배",수확 21일 전까지,2회 이내
아바멕틴.설폭사플로르 액상수화제,Abamectin-1.5sulfoxaflor-6.2,슈퍼펀치,(주)동방아그로,살충제,6+4c,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 21일 전까지,3회 이내
아바멕틴.스피로디클로펜 액상수화제,Abamectin-1.2spirodiclofen-28,비수,아그리젠토(주),살충제,6+23,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 30일 전까지,2회 이내
아바멕틴.스피로디클로펜 액상수화제,Abamectin-1.67spirodiclofen-20.56,엔비도스피드,바이엘크롭사이언스(주),살충제,6+23,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 30일 전까지,2회 이내
아바멕틴.스피로메시펜 액상수화제,Abamectin-1.08Spiromesifen-21.57,오베론스피드,바이엘크롭사이언스(주),살충제,6+23,사과,점박이응애,발생초기 경엽처리,"2,500배",수확 21일 전까지,2회 이내
아바멕틴.스피로메시펜 액상수화제,Abamectin-1.7Spiromesifen-20,옵티머스,인바이오(주),살충제,6+23,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 21일전,2회 이내
아바멕틴.아세타미프리드 미탁제,Abamectin-1.6Acetamiprid-7,온사랑,(주)경농,살충제,6+4a,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"2,000배",수확 30일 전까지,3회 이내
아바멕틴.에마멕틴벤조에이트 미탁제,Abamectin-0.8Emamectin benzoate-1,충체포,아그리젠토(주),살충제,6+6,사과,점박이응애,발생초기 경엽처리,"1,333배",수확 14일전,2회 이내
아바멕틴.에톡사졸 액상수화제,Abamectin-1.7Etoxazole-5,미소왕,인바이오(주),살충제,6+10b,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,3회 이내
아바멕틴.에톡사졸 액상수화제,Abamectin-1.8Etoxazole-7.5,응애스타,(주)한얼싸이언스,살충제,6+10b,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"3,000배",수확 14일 전까지,3회 이내
아바멕틴.클로란트라닐리프롤 액상수화제,abamectin-1.714chlorantraniliprole-4.286,볼리암타고,신젠타코리아(주),살충제,6+28,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"4,000배",수확 14일 전까지,3회 이내
아바멕틴.클로르페나피르 액상수화제,Abamectin-1.5Chlorfenapyr-6.6,마이트제로,팜아그로텍(주),살충제,6+13,사과,점박이응애,한잎당 2~3마리 발생 시 경엽처리,"2,000배",수확 14일전,3회 이내
아바멕틴.클로르페나피르 액상수화제,Abamectin-1.7Chlorfenapyr-10,삼중살,인바이오(주),살충제,6+13,사과,점박이응애,엽당 2~3마리 발생시 경엽처리,"2,000배",수확 14일 전까지 ,3회 이내
아바멕틴.페나자퀸 액상수화제,Abamectin-0.6Fenazaquin-10,돌직구,(주)팜한농,살충제,6+21a,사과,점박이응애,한잎당 2-3마리 발생시 경엽처리,"2,000배",수확 30일 전까지,2회 이내
아바멕틴.피리플루퀴나존 입상수화제,Abamectin-1.5Pyrifluquinazon-5,왕중왕,(주)경농,살충제,6+9b,사과,점박이응애,엽당 2~3마리 발생시 경엽처리,"2,000배",수확 14일 전까지,2회 이내
아세퀴노실 액상수화제,acequinocyl-15,가네마이트,(주)경농,살충제,20b,사과,점박이응애,한잎당 2~3마리 발생시 경엽처리,"1,000배",수확 20일 전까지,3회 이내
아세퀴노실 액상수화제,Acequinocyl-15,가네마이트,(주)경농,살충제,20b,사과,점박이응애,한잎당 2~3마리 발생시  경엽처리,"1,000배",수확 20일 전까지,3회 이내
아조사이클로틴 수화제,Azocyclotin-25,드림팀,(주)한얼싸이언스,살충제,12b,사과,점박이응애,꽃이 피기 전과 꽃이 진 후 5~10월에 한잎당 3~4마리 정도 발생할 때 경엽처리,"1,500배",수확 14일 전까지,3회 이내
아조사이클로틴 수화제,Azocyclotin-25,응애킹,아그리젠토(주),살충제,12b,사과,점박이응애,한잎당 2-3마리 정도 발생시 경엽처리,"1,500배",수확 14일 전까지,3회 이내
